,match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,match_result,match_winner,wide ball runs,wide wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,best_bowling_wickets1,best_bowling_runs,toss_win_match_win
37,38,2025-04-20,"Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,176.0,5.0,177.0,1.0,completed,MI,25.0,9.0,26.0,Rohit Sharma,Rohit Sharma,76.0,Jasprit Bumrah,2--25,2,25,True
38,39,2025-04-21,"Eden Gardens, Kolkata",KKR,GT,League,KKR,Bowl,198.0,3.0,159.0,8.0,completed,GT,39.0,7.0,0.0,Shubman Gill,Shubman Gill,90.0,Prasidh Krishna,2--25,2,25,False
39,40,2025-04-22,"Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Bowl,159.0,6.0,161.0,2.0,completed,DC,25.0,8.0,13.0,Mukesh Kumar,KL Rahul,57.0,Mukesh Kumar,4--33,4,33,True
40,41,2025-04-23,"Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,SRH,Bowl,143.0,8.0,146.0,3.0,completed,MI,25.0,7.0,26.0,Trent Boult,Heinrich Klassen,71.0,Trent Boult,4--26,4,26,False
41,42,2025-04-24,"M. Chinnaswamy Stadium, Bangalore",RCB,RR,League,RR,Bowl,205.0,5.0,194.0,9.0,completed,RCB,11.0,7.0,0.0,Josh Hazlewood,Virat Kohli,70.0,Josh Hazlewood,4--33,4,33,False
42,43,2025-04-25,"MA Chidambaram Stadium, Chennai",CSK,SRH,League,SRH,Bowl,154.0,10.0,155.0,5.0,completed,SRH,25.0,5.0,8.0,Harshal Patel,Ishan Kishan,44.0,Harshal Patel,4--28,4,28,True
43,44,2025-04-26,"Eden Gardens, Kolkata",KKR,PBKS,League,PBKS,Bat,201.0,4.0,7.0,0.0,tied,,25.0,7.0,114.0,,,,,,3,28,False
44,45,2025-04-27,"Wankhede Stadium, Mumbai",MI,LSG,League,LSG,Bowl,215.0,7.0,161.0,10.0,completed,MI,54.0,7.0,0.0,Will Jacks,Ryan Rickelton,58.0,Jasprit Bumrah,4--22,4,22,False
45,46,2025-04-27,"Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,162.0,8.0,165.0,4.0,completed,RCB,25.0,6.0,9.0,Krunal Pandya,Krunal Pandya,73.0,Bhuvneshwar Kumar,3--33,3,33,True
46,47,2025-04-28,"Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Bowl,209.0,4.0,212.0,2.0,completed,RR,25.0,8.0,25.0,Vaibhav Suryavanshi,Vaibhav Suryavanshi,101.0,Maheesh Theekshana,2--35,2,35,True
47,48,2025-04-29,"Arun Jaitley Stadium, Delhi",DC,KKR,League,DC,Bowl,204.0,9.0,190.0,9.0,completed,KKR,14.0,7.0,0.0,Sunil Narine,Faf du Plessis,62.0,Sunil Narine,3--29,3,29,False
48,49,2025-04-30,"MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Bowl,190.0,10.0,194.0,6.0,completed,PBKS,25.0,4.0,2.0,Shreyas Iyer,Sam Curran,88.0,Yuzvendra Chahal,4--32,4,32,True
49,50,2025-05-01,"Sawai Mansingh Stadium, Jaipur",RR,MI,League,RR,Bowl,217.0,2.0,117.0,10.0,completed,MI,100.0,7.0,23.0,Ryan Rickelton,Ryan Rickelton,61.0,Karn Sharma,3--23,3,23,False
50,51,2025-05-02,"Narendra Modi Stadium, Ahmedabad",GT,SRH,League,SRH,Bowl,224.0,6.0,186.0,6.0,completed,GT,38.0,7.0,0.0,Prasidh Krishna,Shubman Gill,76.0,Jaydev Unadkat,3--35,3,35,False
51,52,2025-05-03,"M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,CSK,Bowl,213.0,5.0,211.0,5.0,completed,RCB,2.0,7.0,0.0,Romario Shepherd,Ayush Mhatre,94.0,Lungi Ngidi,3--30,3,30,False
52,53,2025-05-04,"Eden Gardens, Kolkata",KKR,RR,League,KKR,Bat,206.0,4.0,205.0,8.0,completed,KKR,1.0,7.0,0.0,Andre Russell,Riyan Parag,95.0,Varun Chakravarthy,2--32,2,32,True
53,54,2025-05-04,"HPCA Stadium, Dharamshala",PBKS,LSG,League,LSG,Bowl,236.0,5.0,199.0,7.0,completed,PBKS,37.0,7.0,0.0,Prabhsimran Singh,Prabhsimran Singh,91.0,Arshdeep Singh,3--16,3,16,False
54,55,2025-05-05,"Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,SRH,Bowl,133.0,7.0,,,tied,,25.0,7.0,,,,,,,3,28,False
55,56,2025-05-06,"Wankhede Stadium, Mumbai",MI,GT,League,GT,Bowl,155.0,8.0,147.0,7.0,completed,GT,25.0,3.0,0.0,Shubman Gill,Will Jacks,53.0,Jasprit Bumrah,2--19,2,19,True
56,57,2025-05-07,"Eden Gardens, Kolkata",KKR,CSK,League,KKR,Bat,179.0,6.0,183.0,8.0,completed,CSK,25.0,2.0,2.0,Noor Ahmad,Dewald Brevis,52.0,Noor Ahmad,4--31,4,31,False
57,58,2025-05-17,"M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,,Bowl,,,,,tied,,25.0,7.0,,,,,,,3,28,False
58,59,2025-05-18,"Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Bat,219.0,5.0,209.0,7.0,completed,PBKS,10.0,7.0,0.0,Harpreet Brar,Nehal Wadhera,70.0,Harpreet Brar,3--22,3,22,True
59,60,2025-05-18,"Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Bowl,199.0,3.0,205.0,0.0,completed,GT,25.0,10.0,6.0,Sai Sudarshan,Sai Sudarshan,108.0,Arshad Khan,1--7,1,7,True
60,61,2025-05-19,"Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Bowl,205.0,7.0,206.0,4.0,completed,SRH,25.0,6.0,10.0,Abhishek Sharma,Mitchell Marsh,65.0,Eshan Malinga,2--28,2,28,True
61,62,2025-05-20,"Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Bowl,187.0,8.0,188.0,4.0,completed,RR,25.0,6.0,17.0,Akash Madhwal,Vaibhav Suryavanshi,57.0,Akash Madhwal,3--29,3,29,True
62,63,2025-05-21,"Wankhede Stadium, Mumbai",MI,DC,League,DC,Bowl,180.0,5.0,121.0,10.0,completed,MI,59.0,7.0,10.0,Suryakumar Yadav,Suryakumar Yadav,73.0,Mitchell Santner,3--11,3,11,False
63,64,2025-05-22,"Narendra Modi Stadium, Ahmedabad",GT,LSG,League,GT,Bowl,235.0,2.0,202.0,9.0,completed,LSG,33.0,7.0,0.0,Mitchell Marsh,Mitchell Marsh,117.0,Will O'Rourke,3--27,3,27,False
64,65,2025-05-23,"Ekana Cricket Stadium, Lucknow",RCB,SRH,League,RCB,Bowl,231.0,6.0,189.0,10.0,completed,SRH,42.0,7.0,1.0,Ishan Kishan,Ishan Kishan,94.0,Pat Cummins,3--28,3,28,False
65,66,2025-05-24,"Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Bowl,206.0,8.0,208.0,4.0,completed,DC,25.0,6.0,3.0,Sameer Rizvi,Sameer Rizvi,58.0,Mustafizur Rahman,3--33,3,33,True
66,67,2025-05-25,"Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Bat,230.0,5.0,147.0,10.0,completed,CSK,83.0,7.0,9.0,Dewald Brevis,Dewald Brevis,57.0,Noor Ahmad,3--21,3,21,True
67,68,2025-05-25,"Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Bat,278.0,3.0,168.0,10.0,completed,SRH,110.0,7.0,8.0,Heinrich Klassen,Heinrich Klassen,105.0,Jaydev Unadkat,3--24,3,24,True
68,69,2025-05-26,"Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Bowl,184.0,7.0,187.0,3.0,completed,PBKS,25.0,7.0,9.0,Josh Inglis,Josh Inglis,73.0,Arshdeep Singh,2--28,2,28,True
69,70,2025-05-27,"Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Bowl,227.0,3.0,230.0,4.0,completed,RCB,25.0,6.0,8.0,Jitesh Sharma,Rishabh Pant,118.0,Will O'Rourke,2--74,2,74,True
70,71,2025-05-29,"New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Bowl,101.0,10.0,106.0,2.0,completed,RCB,25.0,8.0,60.0,Suyash Sharma,Phil Salt,56.0,Suyash Sharma,3--17,3,17,True
71,72,2025-05-30,"New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Bat,228.0,5.0,208.0,6.0,completed,MI,20.0,7.0,0.0,Rohit Sharma,Rohit Sharma,81.0,Sai Kishore,2--42,2,42,True
72,73,2025-06-01,"Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Bowl,203.0,6.0,207.0,5.0,completed,PBKS,25.0,5.0,6.0,Shreyas Iyer,Shreyas Iyer,87.0,Azmatullah Omarzai,2--43,2,43,True
73,74,2025-06-03,"Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,PBKS,Bowl,190.0,9.0,184.0,7.0,completed,RCB,6.0,7.0,0.0,Krunal Pandya,Shashank Singh,61.0,Arshdeep Singh,3--40,3,40,False
